,Emp_ID,Age,Gender,City,Education_Level,Salary,Designation,Total Business Value,Quarterly Rating,Target
0,1,28,1,15,2,57387,1,0,2,1
1,2,31,1,26,2,67016,2,0,1,0
2,4,43,1,4,2,65603,2,0,1,1
3,5,29,1,28,1,46368,1,0,1,1
4,6,31,0,2,0,78728,3,0,2,0
5,8,34,1,11,1,70656,3,0,1,1
6,11,28,0,10,2,42172,1,0,1,0
7,12,35,1,15,2,28116,1,0,1,1
8,13,31,1,10,2,119227,4,0,1,1
9,14,39,0,18,1,19734,3,0,1,0
10,16,30,0,15,1,52963,2,0,1,1
11,17,43,1,12,2,51099,1,0,1,1
12,18,27,0,8,0,31631,1,0,1,1
13,20,26,0,10,1,40342,3,0,1,1
14,21,34,0,21,0,22755,1,281380,1,1
15,22,41,1,1,2,31224,1,0,1,1
16,24,31,1,16,2,76308,2,343160,2,1
17,25,31,1,16,0,102077,3,2013180,4,0
18,26,43,1,5,2,132577,4,1453220,2,0
19,29,30,1,4,2,30312,1,0,1,1
20,30,31,1,25,0,69457,3,0,1,1
21,31,32,0,20,2,65189,3,950940,2,0
22,34,28,0,5,0,65813,2,0,1,1
23,35,32,1,24,0,68070,3,0,1,1
24,36,41,0,9,0,32865,2,-325140,2,1
25,37,33,0,5,0,57375,2,0,1,1
26,38,22,1,19,1,13427,1,-155610,1,1
27,39,32,1,18,1,72888,2,150970,2,0
28,40,32,1,6,1,59182,2,0,1,1
29,41,35,1,21,2,92372,4,1270000,2,0
30,42,44,0,20,1,45988,2,0,1,1
31,43,27,0,6,1,12906,1,0,1,1
32,44,28,1,8,2,62100,1,0,1,1
33,45,35,1,27,2,77544,3,1521760,3,0
34,46,36,0,17,2,42171,1,0,1,1
35,47,30,1,13,0,28000,1,382210,2,0
36,49,22,1,12,1,53039,2,0,1,1
37,50,49,0,24,1,89367,3,0,1,1
38,51,34,1,5,1,131347,4,582010,2,1
39,52,37,1,10,1,48687,3,300560,2,0
40,54,35,1,21,0,127826,5,964430,1,0
41,55,30,0,27,1,29985,1,0,1,1
42,56,36,0,10,2,80223,1,458720,4,0
43,57,38,0,0,0,84318,2,0,1,1
44,58,41,1,23,1,57987,2,0,1,1
45,59,35,0,9,0,31644,1,0,1,1
46,60,48,0,12,1,89592,4,1750000,2,0
47,61,32,1,2,2,19818,1,0,1,1
48,62,27,1,28,2,62376,1,0,1,0
49,63,28,1,25,1,93931,3,323370,2,0
50,64,33,1,19,2,66502,2,0,1,1
51,65,30,0,26,0,69539,2,0,2,1
52,66,27,0,23,2,104286,3,0,1,0
53,67,41,1,20,2,65982,2,850760,3,0
54,68,32,1,21,1,79288,3,538920,3,0
55,69,32,0,26,0,64604,2,0,1,1
56,70,35,1,12,0,19235,1,0,1,1
57,71,43,1,12,2,54103,3,0,1,1
58,72,28,1,5,2,42242,2,193580,1,0
59,74,35,0,24,2,59216,2,0,1,1
60,75,25,0,9,2,39884,2,0,2,1
61,77,34,1,22,2,63918,2,754840,3,0
62,78,37,1,13,1,105946,4,2667530,2,0
63,79,32,1,5,0,114648,4,0,1,1
64,80,29,0,26,1,56687,2,153300,1,0
65,81,39,1,28,2,77177,2,0,1,1
66,82,37,0,16,0,89013,3,0,1,1
67,83,34,1,15,2,115159,3,0,1,1
68,84,42,1,7,1,25950,1,-300000,2,1
69,85,25,1,14,2,49509,1,0,1,0
70,86,35,1,11,2,49510,1,0,1,1
71,87,37,1,25,0,119341,3,1310090,4,0
72,88,45,0,22,1,62298,2,0,1,1
73,89,28,1,11,0,58977,2,0,1,1
74,90,33,1,14,1,29408,2,0,1,1
75,91,31,1,13,1,22731,2,200000,1,1
76,93,30,1,8,2,39527,2,0,2,1
77,95,29,0,5,2,60874,3,0,1,1
78,96,35,1,3,2,64953,3,0,1,1
79,97,40,0,11,2,80771,3,350000,1,0
80,98,25,1,7,1,63774,3,0,2,1
81,99,30,1,15,1,38068,2,0,1,1
82,101,33,1,1,1,38945,1,0,1,1
83,102,22,0,3,1,42270,1,0,1,1
84,103,26,0,20,0,68913,2,-150310,1,1
85,104,30,0,15,0,60332,2,606200,2,0
86,105,38,1,23,1,67931,1,0,1,1
87,106,34,0,14,1,57671,3,0,2,1
88,107,35,1,28,2,102142,3,0,1,1
89,108,38,1,14,2,121259,3,0,1,1
90,109,36,0,25,1,33927,1,330140,2,0
91,110,32,0,7,0,32663,1,0,1,1
92,111,52,1,4,0,73769,3,0,1,1
93,112,46,1,21,0,50466,1,611160,3,0
94,113,42,0,1,1,47160,1,-296040,1,1
95,114,32,0,10,1,89456,3,0,1,0
96,115,46,1,0,0,31752,3,373220,2,0
97,116,22,1,2,1,16477,1,0,1,1
98,117,47,0,0,0,144978,5,2092760,2,0
99,118,42,0,19,1,67904,3,0,1,1
100,119,32,0,21,0,71000,3,0,1,1
101,120,27,1,5,2,114258,3,0,1,1
102,121,33,0,4,2,58885,3,0,1,1
103,122,27,1,18,1,57406,2,207520,2,0
104,123,44,1,16,0,41401,1,0,1,1
105,125,33,0,1,2,30847,1,0,1,1
106,127,33,1,20,0,84085,3,0,1,1
